No,,Role,1,Step 2 (x-1),2,Step 2(5-x),3,Step 2 (x-1),4,Step 2(5-x),5,Step 2 (x-1),6,Step 2(5-x),7,Step 2 (x-1),8,Step 2(5-x),9,Step 2 (x-1),10,Step 2(5-x),Sum,Score,Archi,Enge,Civil,Pedago,,,,,,,,,,,,,,,,,,,,,,
1,A,Archi,1,0,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,1,4,24,60,60,0,0,0,хочу вот эти данные =),,,,,,,,,,,,,,,,,,,,,
2,A,Enge,1,0,2,3,1,0,3,2,1,0,3,2,3,2,3,2,1,0,1,4,15,37.5,0,37.5,0,0,,,,,,,,,,,,,,,,,,,,,,
3,B,Enge,3,2,1,4,2,1,3,2,3,2,1,4,4,3,1,4,2,1,1,4,27,67.5,0,67.5,0,0,,,,,,,,,,,,,,,,,,,,,,
4,C,Civil,2,1,2,3,3,2,1,4,2,1,1,4,2,1,2,3,1,0,1,4,23,57.5,0,0,57.5,0,,,,,,,,,,,,,,,,,,,,,,
5,C,Enge,3,2,3,2,3,2,2,3,2,1,2,3,3,2,3,2,1,0,3,2,19,47.5,0,47.5,0,0,,,,,,,,,,,,,,,,,,,,,,
6,C,Archi,2,1,1,4,3,2,2,3,3,2,1,4,3,2,2,3,3,2,0,5,28,70,70,0,0,0,,,,,,,,,,,,,,,,,,,,,,
7,D,Enge,2,1,2,3,3,2,1,4,3,2,1,4,3,2,2,3,3,2,1,4,27,67.5,0,67.5,0,0,,,,,,,,,,,,,,,,,,,,,,
8,D,Civil,3,2,2,3,1,0,1,4,0,-1,3,2,3,2,3,2,2,1,2,3,18,45,0,0,45,0,,,,,,,,,,,,,,,,,,,,,,
9,E,Archi,3,2,1,4,2,1,2,3,3,2,1,4,2,1,1,4,2,1,1,4,26,65,65,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10,E,Civil,4,3,1,4,4,3,3,2,3,2,0,5,4,3,3,2,4,3,3,2,29,72.5,0,0,72.5,0,,,,,,,,,,,,,,,,,,,,,,
11,E,Enge,3,2,0,5,3,2,1,4,3,2,1,4,3,2,0,5,3,2,2,3,31,77.5,0,77.5,0,0,,,,,,,,,,,,,,,,,,,,,,
12,F,Enge,3,2,1,4,1,0,4,1,3,2,1,4,1,0,1,4,0,-1,2,3,19,47.5,0,47.5,0,0,,,,,,,,,,,,,,,,,,,,,,
13,F,Archi,2,1,1,4,3,2,0,5,2,1,3,2,2,1,2,3,2,1,0,5,25,62.5,62.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,
14,F,Enge,2,1,1,4,1,0,3,2,3,2,1,4,1,0,1,4,1,0,3,2,19,47.5,0,47.5,0,0,,,,,,,,,,,,,,,,,,,,,,
15,G,Civil,2,1,1,4,3,2,3,2,3,2,1,4,3,2,4,1,4,3,3,2,23,57.5,0,0,57.5,0,,,,,,,,,,,,,,,,,,,,,,
16,G,Archi,1,0,3,2,2,1,1,4,2,1,3,2,3,2,3,2,0,-1,1,4,17,42.5,42.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,
17,H,Enge,1,0,3,2,1,0,3,2,2,1,2,3,1,0,2,3,0,-1,2,3,13,32.5,0,32.5,0,0,,,,,,,,,,,,,,,,,,,,,,
18,H,Archi,4,3,1,4,3,2,2,3,4,3,1,4,4,3,0,0,3,2,0,5,29,72.5,72.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,
19,I,Archi,1,0,2,3,2,1,3,2,2,1,2,3,3,2,4,1,0,-1,1,4,16,40,40,0,0,0,,,,,,,,,,,,,,,,,,,,,,
20,I,Enge,3,2,3,2,1,0,3,2,2,1,1,4,0,-1,2,3,1,0,0,5,18,45,0,45,0,0,,,,,,,,,,,,,,,,,,,,,,
21,I,Civil,2,1,1,4,1,0,3,2,1,0,1,4,1,0,3,2,1,0,1,4,17,42.5,0,0,42.5,0,,,,,,,,,,,,,,,,,,,,,,
22,J,Archi,3,2,2,3,1,0,1,4,3,2,1,4,3,2,1,4,1,0,1,4,25,62.5,62.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,
23,J,Archi,3,2,1,4,2,1,2,3,3,2,2,3,3,2,2,3,1,0,2,3,23,57.5,57.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,
24,J,Enge,3,2,1,4,4,3,1,4,4,3,0,5,4,3,1,4,3,2,1,4,34,85,0,85,0,0,,,,,,,,,,,,,,,,,,,,,,
25,,Pedago,2,1,1,4,3,2,2,3,3,2,1,4,3,2,2,3,3,2,0,5,28,70,0,0,0,70,,,,,,,,,,,,,,,,,,,,,,
26,,Pedago,4,3,0,5,4,3,0,5,3,2,0,5,4,3,0,5,3,2,0,5,38,95,0,0,0,95,OUI,0,0,le dessin,travail collaboratif,4,4,0,4,2,4,TR7S UTILE POUR COMPRENDRE,oui,0,0,0,2,4,4,4,4,4
27,,Pedago,3,2,0,5,3,2,1,4,3,2,1,4,2,1,0,5,2,1,1,4,30,75,0,0,0,75,,,,,,,,,,,,,,,,,,,,,,
28,,Pedago,4,3,1,4,4,3,2,3,2,1,0,5,4,3,2,3,4,3,0,5,33,82.5,0,0,0,82.5,,,,,,,,,,,,,,,,,,,,,,
29,,Pedago,3,2,0,5,4,3,1,4,4,3,0,5,2,1,0,5,2,1,0,5,34,85,0,0,0,85,,,,,,,,,,,,,,,,,,,,,,